sku,name,zhongliang,description
nanqu-001,英乐一代大双足仿人服务机器人,70kg,"    英乐一代机器人是国内唯一一款在预售阶段的高端大双足仿人服务机器人。现主要用于大型游乐园和科技馆提升形象价值及供高端机器人爱好者收藏。
    目前已实现基本站立动作和上肢活动。性能进一步提升后可实现的功能有：依据人的声音指令来从事相应动作，行走自如，进行诸如“8”字形行走、上下台阶等各项“复杂”动作。此硬件市场进一步开发可用于办公接待端茶倒水，自主操作家用洗衣服做饭等电器，整理打扫房间，看护儿童。"
nanqu-002,SaleWin（赛尔雯）001号机器人,50kg,SaleWin（赛尔雯）001号基于互联网+的营销机器人服务中心，专注于为企业提升营销生产力。为企业机构提供广告，展览，咨询等多领域服务的商用机器人。
nanqu-003,小莱（光控连续成型3D打印机）,8kg,"小莱是中国第一台基于光控连续成型技术的3D打印机，由成都莱创三维科技有限公司自主研发制造，具有从设备到软件再到耗材的全系统自主知识产权。
小莱可实现快速3D打印，5cm高的埃菲尔铁塔，打印时间为5分钟。
小莱可实现高精度3D打印，打印精度为：X,Y平面37微米，z轴1微米。
小莱可实现高强度力学性能，拉伸强度可达到100MPa。
小莱可实现广泛的材料特性，硬度可以从邵氏A10到邵氏D95。即可实现从弹性到刚性材料的打印。
小莱可控制几乎所有的光固化材料。其材料的丰富多样性可以让用户有海量的材料选择，满足各种需求。
小莱可应用于模型设计，科研教学，工业产品设计及零部件制造，病变模型制造，手术前验证，牙齿模型制造，珠宝设计及定制，汽车制造，航空航天制造……等多种领域。
"
nanqu-004,VR影视制作发行,,VR影视制作发行
nanqu-005,Idealens K2 VR一体机,500g,"VR一体机,首创电池仓后置、黄金螺旋设计，目前市面上佩戴最舒适VR一体机，可轻松佩戴2小时。自动调焦，支持眼镜佩戴。无需连线电脑，自由随行。超大视场角与高刷新率，超低时延，可有效降低眩晕，画面清晰自然。"
nanqu-006,动感单车+VR游戏,20kg,VR一体机游戏内容配合动感单车体验。娱乐的同时可以进行动感单车骑行，与VR游戏互动。
nanqu-007,极翔如翼,200KG,"•全球首创消费级VR极限跳伞与滑翔翼全流程体验装置
•软硬件一体化集成设计，一键控制整个体验过程
•超拟真感官体验效果拔群，体验者惊险刺激High满全程
•可根据不同主题环境定制VR体验内容
•VR体验内容可做主题与广告植入，具极强品牌推广效果
•安装操作简单，管理维护方便，可适配多种场地
•可实现远程开关机、远程VR体验内容的上传下载
•主要配件均为模块化设计，便于维护与更换"
nanqu-008,Drums Hero 鼓动人生,10kg,"产品概述 ： <DrumsHero>是全球首款PC/主机+VR模式的模拟演奏音乐游戏。
地址：http://store.steampowered.com/app/608370/
产品于3月24号在STEAM平台上线。获全球玩家与媒体一致好评。
真实演奏:
是一款让你如同专业鼓手般演奏的音乐游戏。享受摇滚明星一样的游戏体验！
挑战自己:
完成挑战可获得新的曲谱奖励，并与全球玩家同台竞技！
多样选择:
你可以使用VR模式享受游戏，HTC VIVE & Oculus Rift,也可以使用游戏手柄或者电脑键盘演奏音乐。"
nanqu-009,虚拟现实消防教育,,把VR虚拟现实技术和消防宣传相结合，利用VR技术亲历火场的体验，既能保证用户的绝对安全，其真实的效果也能让正确的消防灭火知识、逃生知识深入人心。
nanqu-010,虚拟现实家居装修,,利用虚拟现实技术打造可视化虚拟现实家装系统，我们会把设计方案虚拟现实化，让客户可以使用虚拟现实眼镜测试、体验虚拟现实家装效果图，让室内装修流程更快捷、更明晰、更准确地满足客户需求。
